Genes	phase	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YAR007C	G1	-0.48	-0.42	0.87	0.92	0.67	-0.18	-0.35	-1.06	-0.81	-0.18	0.53	0.8	0.45	0.16	-0.09	-0.35	-0.11	-0.35
YBL035C	G1	-0.39	-0.58	1.08	1.21	0.52	-0.33	-0.58	-0.08	-1.02	0.51	0.11	0.34	0.39	0.1	-0.47	-0.05	-0.53	-0.24
YBR023C	G1	0.87	0.25	-0.17	0.18	-0.13	-0.44	-0.13	-0.26	-0.45	-0.35	-0.06	0.52	0.16	0.19	-0.12	0.59	-0.39	-0.26
YBR067C	G1	1.57	1.03	1.22	0.31	0.16	-0.49	-1.02	-1.08	-0.8	-0.18	0.1	0.27	0.39	-0.05	-0.42	0.16	-1.08	-0.08
YBR088C	G1	-1.15	-0.86	1.21	1.62	1.12	0.16	-0.44	-0.93	-1.23	-0.62	0.62	1.3	1.08	0.27	0.04	-0.51	-0.8	-0.89
YBR278W	G1	0.04	-0.12	0.31	0.16	0.17	-0.06	0.08	-0.05	-0.02	-0.09	-0.06	0.18	0.19	-0.05	-0.2	0.01	-0.23	-0.23
YCL055W	G1	2.95	0.45	-0.4	-0.66	-0.59	-0.38	-0.76	-0.57	-0.47	-0.38	0.4	0.36	0.22	0.13	-0.09	0.21	-0.32	-0.09
YDL003W	G1	-1.22	-0.74	1.34	1.5	0.63	0.29	-0.55	-0.65	-0.76	-0.88	0.69	1.25	0.62	-0.01	-0.36	-0.04	-0.55	-0.55
YDL055C	G1	-0.73	-1.06	-0.79	-0.02	0.16	0.44	0.03	0.11	-0.2	-1.26	-0.37	0.03	0.67	0.68	0.87	0.95	0.45	0.05
YDL102W	G1	-0.58	-0.4	0.13	0.58	-0.09	0.02	-0.45	-0.34	0.1	0.12	0.79	0.44	0.2	0.02	-0.27	0.2	-0.36	-0.12
YDL197C	G1	-0.86	-0.29	0.42	0.46	0.3	0.1	-0.63	-0.09	-0.31	-0.45	0.64	0.39	0.12	0.14	0.02	0.44	-0.23	-0.15
YDR052C	G1	-0.36	-0.03	-0.03	-0.08	-0.23	-0.25	-0.21	-0.01	0.02	0.03	0.6	-0.08	0.82	0.02	-0.14	0.19	-0.26	0
YDR097C	G1	-0.72	-0.85	0.54	1.04	0.84	0.24	-0.64	-0.83	-0.36	-0.7	0.99	1.08	0.64	0.18	-0.05	0.03	-0.76	-0.66
YDR113C	G1	-0.78	-0.52	0.26	0.2	0.48	0.48	0.27	0.01	-0.29	-0.61	-0.29	0.04	0.31	0.17	0.35	-0.02	0.07	-0.11
YDR309C	G1	0.6	-0.55	0.41	0.45	0.18	-0.66	-1.02	-0.98	-0.4	-0.23	1.59	0.67	0.72	-0.23	0.6	-0.09	-0.71	-0.34
YDR356W	G1	-0.2	-0.67	0.13	0.1	0.38	0.44	0.05	-0.28	-0.26	0.1	-0.11	0.16	0	-0.03	0.17	0.1	0.1	-0.2
YER070W	G1	-1.46	-0.76	1.08	1.5	0.74	0.47	-0.7	-0.68	-1.03	-0.55	0.35	1.24	0.73	0.2	0	0.11	-0.53	-0.72
YER095W	G1	-0.57	0.42	1.03	1.35	0.64	0.42	-0.4	-0.9	-0.73	-0.47	0.2	0.78	0.28	-0.05	-0.11	-0.13	-0.87	-0.9
YGL163C	G1	-0.11	0.13	0.41	0.6	0.23	0.31	0.19	0.16	-0.55	-0.34	0.05	0.23	0.25	0.08	-0.11	-0.23	-1.1	-0.19
YGL225W	G1	-1.08	-0.99	-0.16	0.2	0.61	0.37	0.1	0.3	0.18	-0.49	0.11	0	0.35	0.27	0.46	0.42	-0.2	-0.44
YIR008C	G1	0.07	-0.04	0.44	0.31	0.26	-0.21	0.19	0.07	-0.07	-0.3	-0.07	0.14	0.26	-0.25	0.02	-0.23	-0.38	-0.19
YJL092W	G1	-1.17	-0.68	-0.68	0.03	0.33	0.5	0.13	0.1	-0.05	0.05	-0.21	0.32	0.15	0.08	0.38	0.68	0.01	0.03
YJL115W	G1	-0.44	0.37	0.5	1.32	0.46	0.18	-0.57	-0.53	-0.17	-0.06	0.23	0.46	0.24	-0.22	-0.44	-0.25	-0.53	-0.55
YJL173C	G1	-0.56	-0.56	-0.04	0.34	0.58	0.31	0.52	0.14	-0.23	-0.47	-0.11	-0.13	0.4	-0.14	0.42	-0.21	0.34	-0.59
YJR057W	G1	-0.06	0.07	0.11	0.44	0.08	0.41	-0.06	-0.1	-0.08	0.02	-0.06	0.1	0.17	-0.44	-0.15	-0.24	-0.11	-0.08
YKL045W	G1	-0.8	0.01	0.86	0.84	0.51	0.14	-0.4	-0.64	-0.8	0.41	0.88	0.75	0.46	-0.27	-0.1	-0.23	-0.42	-1.21
YKL101W	G1	-0.28	-0.43	-0.02	0.38	0.8	-0.02	0.17	-0.16	-0.58	-0.43	-0.22	0.53	0.69	0.08	0.05	-0.15	-0.11	-0.28
YKL113C	G1	-0.9	-0.23	0.51	1.01	0.52	0.18	-0.33	-0.56	-0.64	-0.49	0.46	0.77	0.72	-0.04	0.04	-0.03	-0.67	-0.33
YLR103C	G1	-0.63	-0.19	0.91	0.75	0.49	0.08	-0.29	-0.33	-0.46	-0.33	0.41	0.6	0.34	-0.14	-0.24	-0.14	-0.44	-0.37
YLR342W	G1	-0.24	-0.43	-0.01	0.35	0.62	0.15	0.38	-0.59	-0.15	-0.79	-0.43	-0.1	-0.05	0.33	0.39	0.81	0.22	-0.43
YMR307W	G1	-1.12	-1.64	-0.41	-0.1	0.44	0.36	0.44	0.15	0.01	-0.64	0.01	0.23	0.54	0.8	0.9	0.88	-0.25	-0.6
YNL082W	G1	-0.61	-0.1	0.66	0.97	0.21	-0.17	-0.38	-0.44	-0.59	-0.23	0.61	0.68	0.41	-0.33	-0.35	0.42	-0.38	-0.38
YNL102W	G1	-0.75	2.01	0.06	0.86	0.5	-0.3	-0.35	-0.33	-0.22	-0.77	0.15	0.6	0.59	-0.04	0.07	-0.66	-0.82	-0.6
YNL262W	G1	0.84	-0.52	0.48	0.58	0.87	0.23	-0.19	-0.65	-0.44	-0.5	0.02	0.32	0.43	0.08	0.04	-0.56	-0.33	-0.72
YNL289W	G1	0.04	0.62	0.44	0.13	0.18	-0.07	0.09	-0.33	0.1	-0.15	-0.04	-0.2	0.03	-0.4	0.1	-0.55	0.27	-0.24
YNL312W	G1	-0.64	-0.73	0.53	1.01	0.83	0.82	0.09	-0.42	-0.73	-0.5	0.11	0.28	0.58	-0.1	0.11	-0.57	-0.17	-0.48
YOL090W	G1	-0.61	-0.66	0.56	0.92	1.06	0.09	0.01	-0.73	-0.75	-0.49	0.05	0.7	0.7	-0.13	0.09	-0.23	-0.39	-0.21
YOR074C	G1	-1.14	-0.31	0.57	1.08	1.17	0.57	0.31	-0.74	-0.68	-0.1	-0.38	0.75	0.73	0.09	-0.27	-0.22	-0.62	-0.8
YPL153C	G1	-0.59	0.14	1.13	1.2	0.63	-0.04	-0.42	-0.61	-0.96	-0.4	0.36	0.72	0.3	-0.01	0.1	-0.54	-0.46	-0.57
YPL256C	G1	-1.41	-0.69	1.39	1.98	0.74	0.21	-0.36	-1.32	-1.5	-1.07	0.35	1.57	1.1	0.56	0.18	-0.32	-0.38	-1.04
YPR120C	G1	-0.98	-0.38	0.92	0.97	0.26	-0.09	-0.18	-0.4	-0.35	-0.33	0.7	0.61	0.31	-0.23	0.1	-0.2	-0.21	-0.5
YPR175W	G1	-0.41	-0.57	1.15	0.69	0.61	0	-0.22	-0.5	-0.43	-0.33	0.22	0.64	0.42	-0.09	-0.03	-0.5	-0.08	-0.57
