學號	線代	基數	微積分	統程
u012	20	49	83	11
u020	55	56	82	29
u038	26	75	85	60
u046	7	80	65	42
u053	76	77	92	59
u061	57	86	89	21
u079	67	55	68	59
u087	15	58	82	3
u095	56	77	94	49
u103	65	52	85	15
u111	NA	70	79	1
u129	23	57	83	8
u137	31	46	54	49
u145	0	40	48	5
u152	14	66	52	39
u160	48	55	80	35
u178	0	55	80	35
u186	45	35	61	24
u194	61	94	76	60
u202	24	23	37	13
u210	0	50	60	23
u228	16	48	86	18
u236	0	0	39	0
u244	49	48	85	36
u251	76	100	92	78
u269	48	52	65	43
u277	40	75	89	2
u285	61	46	87	38
u293	52	41	71	30
u319	54	58	99	19
u327	61	67	91	51
u335	NA	92	92	45
u343	48	63	82	19
u350	29	67	70	31
u368	21	30	58	17
u376	27	23	77	10
u384	50	58	96	56
u392	16	45	77	12
u400	23	60	58	20
u418	96	91	96	21
u426	21	51	73	15
u434	38	46	59	15
u459	44	5	86	15
u467	49	74	80	15
u475	11	40	49	14
u483	8	35	38	23
u491	55	48	83	23
u509	80	88	91	74
u517	39	60	80	32
u525	52	54	77	35
u541	23	55	80	9
u558	13	37	79	15
