民國100年5家半導體公司股票月成交資訊(元,股)									
半導體公司	年度	月份	最高價	最低價	加權平均價	成交筆數	成交金額	成交股數	週轉率百分比
台積電	100	1	78.3	69.6	74.3	263,999	100,578,274,926	1,353,616,348	5.22
台積電	100	2	77	69.9	72.54	235,159	74,985,055,548	1,033,654,452	3.98
台積電	100	3	72.2	65.7	69.74	276,434	88,459,924,495	1,268,289,393	4.89
台積電	100	4	73.9	68	71.37	211,611	70,177,023,098	983,177,475	3.79
台積電	100	5	76.9	73	74.96	213,185	74,005,599,560	987,256,484	3.8
台積電	100	6	78.2	70.4	74.7	260,507	96,761,306,205	1,295,262,736	4.99
台積電	100	7	73.9	68.5	71.59	238,386	73,569,965,426	1,027,567,656	3.96
台積電	100	8	72.8	62.2	66.61	305,409	84,617,942,159	1,270,302,342	4.9
台積電	100	9	72.1	65.9	69.11	266,720	74,225,030,814	1,073,997,108	4.14
台積電	100	10	74	68.1	70.7	181,361	59,947,670,693	847,821,278	3.27
台積電	100	11	76	71.3	74.03	197,579	65,432,526,407	883,753,804	3.41
台積電	100	12	76.8	72	75	179,107	53,687,756,290	715,808,271	2.76
威盛	100	1	33.4	29.3	30.97	55,107	4,580,913,795	147,912,893	21.54
威盛	100	2	32.65	28.35	30.54	26,901	2,060,809,696	67,459,942	9.82
威盛	100	3	35.45	28.5	32.01	55,802	4,355,434,679	136,059,651	19.81
威盛	100	4	32.8	27.55	30.35	27,568	1,815,454,798	59,799,382	8.7
威盛	100	5	32.6	25.95	29.4	37,516	2,758,375,085	93,810,158	13.66
威盛	100	6	37.25	31.2	34.68	89,247	7,828,188,732	225,687,324	32.86
威盛	100	7	38.15	32.45	35.47	67,463	5,968,464,729	168,228,930	24.5
威盛	100	8	35.4	26.6	30.13	45,393	3,364,616,892	111,649,410	16.26
威盛	100	9	29	23.1	26.17	24,781	1,477,865,479	56,460,496	8.22
威盛	100	10	25.15	20.4	23.39	25,791	1,528,259,415	65,336,840	9.51
威盛	100	11	25.7	18.7	22.74	29,099	1,687,413,881	74,175,097	10.8
威盛	100	12	20.2	14.8	16.96	21,092	856,362,397	50,464,211	7.34
聯發科	100	1	424	378	403.55	106,530	57,621,649,341	142,786,216	12.98
聯發科	100	2	380	325.5	348.98	97,339	46,409,931,806	132,985,689	12.08
聯發科	100	3	355	312.5	339.96	117,960	52,887,228,668	155,567,203	14.14
聯發科	100	4	354	301	328.65	87,638	39,442,097,346	120,011,172	10.91
聯發科	100	5	362.5	305.5	335.42	128,717	60,665,847,316	180,862,384	16.44
聯發科	100	6	331	295	311.57	110,521	50,190,673,665	161,084,547	14.64
聯發科	100	7	316.5	244	274.39	161,471	67,807,228,929	247,119,699	22.46
聯發科	100	8	298	221	262.09	249,066	99,279,007,797	378,794,148	34.43
聯發科	100	9	348	268	309.66	240,792	110,850,615,666	357,971,048	30.97
聯發科	100	10	345	310.5	329.66	185,407	86,245,899,331	261,616,653	22.64
聯發科	100	11	326	268	302.52	160,330	66,694,256,195	220,461,694	19.21
聯發科	100	12	292	243	268.01	135,509	50,261,172,442	187,529,947	16.34
聯電	100	1	18.2	15.5	17.19	258,572	31,112,735,815	1,809,650,075	13.93
聯電	100	2	18.3	15.3	16.38	150,872	14,737,456,282	899,524,191	6.92
聯電	100	3	16.1	13.9	14.92	209,011	19,678,194,951	1,318,563,860	10.15
聯電	100	4	15.65	14.55	15.21	125,663	11,339,720,871	745,385,215	5.73
聯電	100	5	15.3	14.25	14.76	116,087	10,613,932,085	718,857,838	5.53
聯電	100	6	15.15	13.85	14.51	125,348	11,651,143,825	802,571,097	6.17
聯電	100	7	14.5	12.95	13.89	122,812	11,900,583,208	856,247,283	6.55
聯電	100	8	13.15	10.15	11.13	169,781	13,165,667,283	1,182,650,262	9.04
聯電	100	9	12.05	10.65	11.25	127,617	9,214,851,731	818,390,302	6.25
聯電	100	10	13.7	11.05	12.39	113,378	7,702,645,861	621,343,297	4.74
聯電	100	11	13.3	11.6	12.68	107,400	7,641,319,053	602,169,179	4.6
聯電	100	12	13.6	11.7	12.51	99,760	6,317,139,669	504,611,921	3.85
旺宏	100	1	23.75	20.2	22.19	241,726	24,488,010,731	1,103,457,390	32.81
旺宏	100	2	22.95	20.3	21.49	113,440	10,237,820,122	476,337,345	14.13
旺宏	100	3	22.4	17.65	19.48	208,006	16,814,336,067	863,074,087	25.58
旺宏	100	4	19.65	18.05	18.88	107,292	7,081,789,345	374,989,300	11.1
旺宏	100	5	18.9	17.4	18.25	103,567	7,221,174,001	395,658,986	11.7
旺宏	100	6	18.15	16.9	17.6	72,617	4,294,383,140	243,965,636	7.22
旺宏	100	7	18.5	14.4	17.09	125,851	8,571,233,298	501,422,845	14.82
旺宏	100	8	14.5	10.25	11.84	152,177	8,137,500,167	687,167,610	20.31
旺宏	100	9	12.65	10.4	11.55	108,879	5,542,998,380	479,779,350	14.18
旺宏	100	10	12	10.25	11.31	68,571	3,041,525,834	268,710,697	7.94
旺宏	100	11	13.65	10.85	12.54	167,018	9,538,526,797	760,264,306	22.47
旺宏	100	12	12.85	11.15	12.17	115,192	5,070,210,532	416,455,073	12.31
