Type	KSIR.V1	KSIR.V2	KSIR.V3	KSIR.V4	KSIR.V5
Type B	0.005226702	0.106103615	-0.124337391	-0.090291913	-0.090291913
Type B	0.060428664	0.055265246	-0.042134963	-0.007375328	-0.007375328
Type A	-0.160898218	-0.064965045	0.037833021	0.048357969	0.048357969
Type B	-0.25483698	0.123912673	0.028546421	-0.047759014	-0.047759014
Type C	0.237974523	-0.075613895	-0.046395525	-0.021222278	-0.021222278
Type C	0.211717434	-0.054149452	0.017730959	0.050421226	0.050421226
Type B	-0.030349224	0.130760393	-0.098736505	-0.041198777	-0.041198777
Type C	0.196547318	-0.040429958	-0.075034199	0.055723143	0.055723143
Type B	-0.008969526	0.10776101	-0.195473535	-0.058160948	-0.058160948
Type C	0.244804841	-0.085714643	0.091714096	0.01964653	0.01964653
Type B	0.001705508	0.120060309	0.055883483	0.031973691	0.031973691
Type B	-0.008356611	0.113658493	-0.026062778	0.059270388	0.059270388
Type C	0.212581107	-0.063901492	-0.044188269	-0.010910087	-0.010910087
Type A	-0.198511217	-0.100600677	0.062586019	0.07057687	0.07057687
Type B	0.014380505	0.110443799	-0.147145912	-0.082371716	-0.082371716
Type C	0.253923135	-0.095478301	0.139645883	0.012117264	0.012117264
Type C	0.161270516	-0.035599271	-0.051691835	-0.020320942	-0.020320942
Type C	0.216006433	-0.044211597	-0.129477469	-0.014470327	-0.014470327
Type B	-0.02740884	0.121895055	0.077031327	-0.014503047	-0.014503047
Type B	0.003878431	0.09230142	-0.269157449	-0.032716497	-0.032716497
Type B	-0.021646077	0.120135575	0.023489223	-0.027452657	-0.027452657
Type A	-0.205140673	-0.09464715	-0.078614163	-0.007302096	-0.007302096
Type A	-0.156326554	-0.059875627	0.001285814	0.017497473	0.017497473
Type B	-0.039291595	0.071677152	-0.099489443	-0.074882187	-0.074882187
Type C	0.188990269	-0.064810307	0.141803682	0.052180518	0.052180518
Type C	0.231208917	-0.056283669	0.092865018	0.024996983	0.024996983
Type A	-0.189960554	-0.088302023	0.013872107	0.040675848	0.040675848
Type C	0.236800097	-0.068148121	0.065036385	0.030646106	0.030646106
Type A	-0.191873637	-0.085430601	-0.051650746	-0.008784586	-0.008784586
Type B	-0.012076137	0.114148483	-0.185513866	-0.070868298	-0.070868298
Type B	0.035436258	0.123312918	0.139001223	-0.037913398	-0.037913398
Type B	-0.021839133	0.113639729	-0.00502189	0.084499965	0.084499965
Type B	-0.035509636	0.084042273	-0.073375355	-0.015633139	-0.015633139
Type C	0.255698474	-0.075756004	0.06416268	-0.019236134	-0.019236134
Type C	0.220005864	-0.068299407	0.028984154	-0.027645784	-0.027645784
Type C	0.257911409	-0.090288043	-0.090545798	-0.012519355	-0.012519355
Type C	0.231908328	-0.057138016	0.020136935	0.022864075	0.022864075
Type B	0.008209152	0.065663979	-0.136042782	-0.01830697	-0.01830697
Type B	0.027939164	0.115170121	0.153794268	0.10402244	0.10402244
Type C	0.23570821	-0.07921225	-0.080714991	0.019475535	0.019475535
Type C	0.219408648	-0.063751643	0.10329943	0.040945278	0.040945278
Type A	-0.179487925	-0.087579753	0.055947337	-0.000916372	-0.000916372
Type C	0.222312837	-0.057604364	0.039360143	-0.039652249	-0.039652249
Type A	-0.18533101	-0.082772031	0.035391844	0.066359612	0.066359612
Type A	-0.171488061	-0.040826046	-0.193060295	-0.100210111	-0.100210111
Type B	-0.009169389	0.105402231	0.152999137	0.113448388	0.113448388
Type B	-0.069092938	0.051619419	0.135051241	0.00698751	0.00698751
Type B	-0.009530279	0.112126435	0.224859766	0.013429956	0.013429956
Type A	-0.191947158	-0.087705722	-0.141739172	-0.10016161	-0.10016161
Type C	0.250077104	-0.071653495	0.082171794	-0.019005514	-0.019005514
Type B	-0.045862898	0.101553802	-0.007619272	0.014505533	0.014505533
Type A	-0.205926673	-0.09839898	-0.015501535	0.042951037	0.042951037
Type C	0.198165091	-0.053485568	-0.060942295	0.013208305	0.013208305
Type B	-0.031298806	0.145389519	-0.164215397	0.018064543	0.018064543
Type B	-0.031592603	0.132240612	-0.135482488	-0.074968761	-0.074968761
Type A	-0.188727202	-0.100898707	0.056220111	-0.027892053	-0.027892053
Type A	-0.18097375	-0.054495708	-0.040651004	-0.044039878	-0.044039878
Type C	0.163901602	-0.026251231	0.050396923	0.023056325	0.023056325
Type B	-0.021683195	0.088643284	0.063953881	0.039653817	0.039653817
Type A	-0.14689083	-0.038560576	-0.04808741	-0.053979646	-0.053979646
Type B	0.016861132	0.117408167	0.123543507	0.160693256	0.160693256
Type C	0.245331125	-0.084918142	-0.021191858	0.053246573	0.053246573
Type B	0.008152974	0.116547162	-0.11173898	0.014368553	0.014368553
Type C	0.207082735	-0.046424899	0.018355423	0.03547837	0.03547837
Type B	-0.029439717	0.084671446	0.053816457	-0.065487499	-0.065487499
Type B	0.016933029	0.083564531	0.008875801	0.066585472	0.066585472
Type A	-0.18925133	-0.08749481	0.040877976	0.059459969	0.059459969
Type C	0.260099147	-0.098498661	-0.011800404	-0.038273755	-0.038273755
Type A	-0.139501237	-0.043617858	-0.02287194	-0.030063884	-0.030063884
Type A	-0.202850043	-0.092897359	-0.141632016	-0.030548214	-0.030548214
Type A	-0.138185637	-0.051640055	0.034843655	0.085029941	0.085029941
Type A	-0.167557985	-0.064538846	0.250426247	0.107707287	0.107707287
Type C	0.246095501	-0.089235899	-0.027762356	0.008589734	0.008589734
Type B	0.018749826	0.146420151	0.23184852	0.07493649	0.07493649
Type B	-0.034613742	0.065910887	0.170819494	-0.016704385	-0.016704385
Type A	-0.147903946	-0.027932492	0.115672197	-0.013332491	-0.013332491
Type C	0.264222651	-0.097706758	0.025192196	-0.01357061	-0.01357061
Type A	-0.187500417	-0.081030732	0.009499683	0.004654973	0.004654973
Type C	0.226785236	-0.057374259	-0.028580141	0.027146912	0.027146912
Type A	-0.176383623	-0.078311259	0.142729946	0.04505305	0.04505305
Type A	-0.164770931	-0.056207209	0.136529763	-0.014825869	-0.014825869
Type A	-0.191619757	-0.081049951	0.184980252	0.040072548	0.040072548
Type A	-0.19809199	-0.102187053	-0.141895356	-0.063494054	-0.063494054
Type B	-0.021289847	0.139334463	0.022985433	-0.001542353	-0.001542353
Type C	0.23667246	-0.06303861	-0.177849596	-0.073303919	-0.073303919
Type B	-0.011438373	0.090955527	-0.110895897	-0.062446102	-0.062446102
Type A	-0.186859544	-0.087848061	0.007876883	0.046780899	0.046780899
Type A	-0.154587674	-0.056193655	0.100488557	0.110014554	0.110014554
Type A	-0.158647105	-0.054821409	-0.074554697	0.007673109	0.007673109
Type C	0.237877928	-0.077885788	-0.076757291	-0.05164115	-0.05164115
Type B	0.008005175	0.126265191	0.057153295	-0.033893682	-0.033893682
Type C	0.231338812	-0.068758818	0.037128256	0.097333527	0.097333527
Type C	0.217823219	-0.058661509	-0.222114511	-0.107049881	-0.107049881
Type B	0.013083676	0.110465614	0.051933776	0.072444869	0.072444869
Type C	0.223243671	-0.071742937	0.124543014	-0.010693913	-0.010693913
Type B	0.000556542	0.109257876	-0.036109468	0.095001968	0.095001968
Type C	0.235542384	-0.06141417	0.050218372	-0.000416524	-0.000416524
Type B	0.013738456	0.096865318	-0.125771574	0.014440618	0.014440618
Type B	-0.019295406	0.097503763	0.367660135	0.123326629	0.123326629
Type C	0.236844306	-0.078222093	0.064718411	0.033363462	0.033363462
Type B	-0.012534089	0.09893093	-0.152766279	-0.066141844	-0.066141844
Type A	-0.203247731	-0.102937865	0.034095025	0.059349735	0.059349735
Type B	-0.053157702	0.051622988	-0.049717692	-0.024637226	-0.024637226
Type A	-0.165456298	-0.079951887	-0.245161374	-0.16251894	-0.16251894
Type B	-0.02066674	0.087133344	0.024967126	0.080802113	0.080802113
Type B	-0.008374237	0.09804749	0.026920698	0.039125608	0.039125608
Type A	-0.169016725	-0.080649387	0.139919659	0.034080109	0.034080109
Type B	0.066558476	0.067739204	-0.041445197	0.008489387	0.008489387
Type C	0.219201314	-0.045577882	0.033192751	-0.059643071	-0.059643071
Type A	-0.17637861	-0.066213134	0.00492895	-0.002211957	-0.002211957
Type A	-0.19051614	-0.092355756	0.074379107	-0.022456993	-0.022456993
Type A	-0.134945957	-0.046080523	-0.079644193	-0.032108003	-0.032108003
Type B	-0.0121518	0.137918873	-0.142632041	-0.070059573	-0.070059573
Type B	-0.011849393	0.103160109	-0.092139067	-0.067953163	-0.067953163
Type C	0.248912325	-0.076230919	0.003190136	-0.000617874	-0.000617874
Type C	0.20865593	-0.06857927	-0.004661396	-0.081888037	-0.081888037
Type A	-0.148025465	-0.037732854	-0.07258958	-0.009796709	-0.009796709
Type B	0.024558953	0.117458753	0.141208601	-0.01476966	-0.01476966
Type A	-0.211857605	-0.101673406	0.06783327	0.0319788	0.0319788
Type A	-0.182626041	-0.074566367	0.130417957	0.063264741	0.063264741
Type C	0.247609671	-0.083015853	-0.161476763	-0.044874545	-0.044874545
Type B	-0.036110918	0.136469452	-0.177087907	-0.06087244	-0.06087244
Type A	-0.184657646	-0.092310822	-0.004940023	0.008469641	0.008469641
Type C	0.253329443	-0.091738578	0.030713772	0.03028044	0.03028044
Type A	-0.156387862	-0.058617548	0.07413694	-0.014301583	-0.014301583
Type A	-0.15429904	-0.072175232	-0.136203188	-0.08574215	-0.08574215
Type B	-0.038591498	0.133648019	0.053783852	0.016426146	0.016426146
Type A	-0.198076775	-0.074491867	-0.032067894	0.052893835	0.052893835
Type B	0.004085966	0.10148179	-0.022765045	-0.009046028	-0.009046028
Type B	0.004722612	0.104687702	-0.065344686	-0.054931574	-0.054931574
Type C	0.219851171	-0.066742296	-0.173393789	-0.052057498	-0.052057498
