State  Education  Welfare  Highways  HealthCare  Corrections  LawEnforcement  
AL  0.863  0.448  0.168  0.284  0.044  0.183  
AR  0.887  0.492  0.241  0.150  0.044  0.141  
AZ  0.765  0.473  0.249  0.112  0.090  0.364  
CA  0.916  0.817  0.142  0.170  0.104  0.425  
CO  0.782  0.415  0.188  0.108  0.076  0.282  
CT  0.764  0.742  0.251  0.323  0.128  0.347  
DE  1.142  0.423  0.339  0.237  0.158  0.323  
FL  0.654  0.396  0.161  0.143  0.077  0.348  
GA  0.765  0.489  0.129  0.151  0.089  0.260  
IA  0.945  0.466  0.339  0.210  0.060  0.190  
ID  0.926  0.330  0.273  0.088  0.054  0.192  
IL  0.628  0.539  0.212  0.138  0.054  0.264  
IN  0.822  0.463  0.191  0.151  0.057  0.171  
KS  0.874  0.354  0.258  0.175  0.075  0.237  
KY  0.952  0.635  0.249  0.132  0.056  0.188  
LA  0.862  0.595  0.206  0.251  0.065  0.239  
MA  0.546  0.885  0.170  0.263  0.108  0.314  
MD  0.701  0.544  0.198  0.185  0.113  0.035  
ME  0.817  0.811  0.221  0.135  0.054  0.189  
MI  0.786  0.591  0.157  0.259  0.091  0.301  
MN  1.020  0.676  0.233  0.209  0.043  0.226  
MO  0.680  0.485  0.185  0.139  0.039  0.188  
MS  0.762  0.463  0.206  0.152  0.033  0.133  
MT  0.938  0.406  0.344  0.150  0.045  0.192  
NC  0.923  0.431  0.212  0.169  0.081  0.228  
ND  1.080  0.533  0.360  0.150  0.025  0.144  
NE  0.786  0.441  0.277  0.237  0.046  0.182  
NH  0.420  0.840  0.173  0.124  0.041  0.230  
NJ  0.897  0.773  0.235  0.179  0.084  0.347  
NM  1.213  0.449  0.243  0.262  0.081  0.278  
NV  0.833  0.336  0.221  0.079  0.096  0.401  
NY  0.992  1.121  0.137  0.296  0.111  0.498  
OH  0.770  0.589  0.208  0.171  0.063  0.248  
OK  0.944  0.480  0.255  0.186  0.063  0.193  
OR  0.651  0.447  0.226  0.226  0.070  0.283  
PA  0.831  0.800  0.183  0.200  0.049  0.228  
RI  0.812  0.770  0.181  0.251  0.101  0.288  
SC  0.852  0.449  0.147  0.268  0.082  0.221  
SD  0.607  0.410  0.298  0.123  0.042  0.160  
TN  0.617  0.561  0.226  0.146  0.076  0.218  
TX  0.751  0.419  0.140  0.140  0.076  0.233  
UT  1.077  0.369  0.179  0.189  0.054  0.215  
VA  0.771  0.327  0.238  0.223  0.091  0.256  
VT  0.986  0.667  0.308  0.114  0.060  0.184  
WA  1.210  0.546  0.224  0.245  0.106  0.255  
WI  0.839  0.563  0.171  0.166  0.068  0.266  
WV  0.969  0.605  0.282  0.109  0.020  0.117  
WY  1.280  0.411  0.701  0.196  0.052  0.297  
