學號	小考1	小考2	小考3	小考4	小考5	小考6	期中考	期末考
s0019	80 	13 	70 	49 	70 	23 	40	28
s0027	10 	30 		55 	50 	59 	47	37
s0035	80 	0 	55 	58 	33 	44 	34	29
s0043	0 	0 	35 	43 	10 	13 	27	17
s0050	100 	75 	80 	45 	75 	75 	62	78
s0068	25 	20 	45 	25 	25 	10 	15	19
s0076	60 	0 	15 	49 	5 	25 	11	26
s0084	0 	0 	0 	35 	25 	5 	14	5
s0092	80 	70 	100 	84 	56 	65 	43	90
s0100	10 	20 	65 	63 	10 	44 	34	27
s0118	55 	15 	20 	0 	55 	54 	23	34
s0126	15 	30 	50 	47 	60 	0 	75	38
s0134	95 	60 	80 	50 	76 	34 	63	48
s0142		18 	75 	30 	25 	30 	68	13
s0159	95 	35 	70 	64 	0 	53 	69	12
s0167	80 	15 	25 	31 	65 	5 	43	27
s0175	80 	95 	100 	92 	80 	60 	91	68
s0183	0 	35 	60 		53 	35 	28	12
s0191	80 	35 	90 	75 	25 	29 	95	45
s0209	45 	28 	70 	15 	50 	10 	62	26
s0217	40 	20 	25 	50 	5 	30 	20	5
s0225	0 	0 	40 	43 	40 	39 	44	20
s0233	65 	30 	45 	61 	30 	48 	40	49
s0241	50 	5 	50 		25 	45 	46	9
s0258	80 	80 	85 	74 	93 	55 	107	100
s0266	30 	85 	85 	73 	68 	54 	88	53
s0274	95 	40 	55 	71 	25 	59 	39	51
s0282	30 	53 	45 	88 	50 	50 	54	43
s0290	95 	90 	80 	81 	85 	60 	83	29
s0308	25 	25 	30 	53 	35 		26	5
s0324	20 	35 	60 	71 	40 	60 	78	42
s0332	80 	35 	15 	36 	35 	49 	29	55
s0340	5 	15 	20 	30 	40 	4 	17	4
s0357	60 	18 	50 	67 	25 	45 	39	48
s0365	60 	37 	30 	78 			96	53
s0373	80 	5 	15 	24 	10 		9	2
s0381	35 	15 	60 	60 	0 	8 	55	41
s0407	45 	25 	40 	57 	43 	30 	66	24
s0423	35 	20 	65 	13 	60 	20 	43	33
s0431	60 	55 	55 	72 	60 	64 	79	89
s0449	70 	25 	90 	50 	43 	50 	97	69
s0456	60 	30 	50 	38 	45 	35 	35	19
s0464	75 	40 	75 	59 	85 	54 	107	57
s0472	75 	0 	50 	25 	0 	10 	37	16
s0480	0 	15 	0 	10 	35 		24	21
s0498	80 	0 	45 	56 	60 	30 	22	41
s0514	95 	68 	80 	50 	20 	49 	80	18
s0522	0 	0 	15 	10 	43 	35 	15	33
s0530	60 	40 	50 	61 	40 	25 	37	22
s0548	35 	5 	65 	71 	60 	30 	68	53
s0555	100 	43 	100 	68 	76 	90 	83	96
s0563	70 	20 	35 	40 	73 	15 	48	47
s0571	80 	40 	50 	26 	15 	20 	32	28
s0589	35 	35 	55 	89 	45 	25 	37	41
s0613	95 	75 	65 	74 	78 	68 	97	77
s0621	50 	37 	80 	38 	15 	25 	73	42
s0639	20 	15 	45 	52 	20 	19 	30	27
s0647	25 		25 	50 	30 	50 	33	32
s0662	30 	15 	40 	46 	23 	50 	69	36
s0670	95 	60 	75 	67 	73 	60 	106	99
s0688	0 	15 	20 	38 	40 	40 	21	44
s0696	60 	90 	85 	25 	10 	5 	33	20
s0704	65 	30 	50 	26 	70 	30 	55	40
s0712	70 	55 		82 	40 	20 	37	23
s0720	80 	3 	90 	61 	70 	69 	73	60
s0738	80 	30 	75 	48 	60 		53	28
s0746	75 	40 	70 	80 	85 	70 	70	80
s0753	75 	40 	45 	75 	65 		83	68
s0761	85 	5 	75 	5 	25 	70 	83	57
s0779	60 	58 	95 	72 	40 	45 	72	34
s0787	30 	0 	65 	50 	40 	40 	41	32
s0795	80 	20 	45 	50 	25 	10 	77	20
s0803	75 	0 	80 	45 	60 	74 	66	75
s0811	75 	30 	40 	95 	50 	44 	48	51
s0829	50 	65 	60 	79 	45 	75 	57	67
s0837	100 	95 	95 	94 	95 	100 	115	100
s0845	30 	30 	35 	53 	40 	20 	22	14
s0852	60 	13 	15 	24 	65 	25 	40	42
s0860	35 	15 	70 	55 	40 	10 	46	50
s0878	100 	40 	85 	58 	50 	50 	85	50
s0886	55 	40 	60 	74 	40 	59 	49	43
s0894	100 	85 	75 	69 	65 	49 	97	45
s0902	25 	20 	80 	74 	95 	20 	64	51
s0910	90 	47 	65 	70 	45 	60 	55	75
s0928	10 	30 	30 	63 	50 	43 	67	71
s0944	40 	0 	20 	5 	25 		21	12
s0951	20 	0 	0 	38 	25 	0 	3	17
s0969	10 	15 	25 	36 	70 	25 	37	5
s0977	90 	40 	45 	75 	70 	49 	84	22
s0985	40 	3 	80 	39 	55 	20 	49	10
s1017	95 	57 	85 	89 	60 	60 	66	44
s1025	35 	48 	65 	55 	75 	59 	62	38
s1033	90 	45 	85 	71 	33 	65 	50	42
s1041	15 	45 	70 	41 	20 	40 	54	50
s1058	60 	35 	85 	85 	76 	49 	49	58
s1066	60 	70 	75 	86 	50 	95 	85	77
s1074	80 	0 	50 	23 	20 	5 	70	35
s1082	25 	23 	75 	52 	40 	65 	36	76
s1090	85 	40 	60 	69 	60 	35 	29	32
s1116	20 	28 	40 	35 	35 	5 	30	31
s1124	60 	95 	55 	72 	40 	74 	73	80
s1132	60 	40 	70 	55 	10 	0 	45	8
s1140	20 	45 	55 	60 	28 	55 	67	94
s1157	90 	33 	60 	0 	25 	35 	86	24
s1165	20 	15 	65 	59 	45 	5 	29	21
s1173	75 	65 	95 	95 	95 	69 	66	96
s1181	25 	5 	15 	53 	15 	0 	20	7
s1199	80 	40 	45 	60 	48 	25 	63	48
s1207	20 	55 	25 	45 	25 	10 	37	12
s1215	40 	30 	0 	51 	20 		19	4
s6016	100 	65 	95 	88 	90 	69 	100	86
s8020	10 	30 	95 	27 	88 	35 	48	37
s8046	0 	25 	55 	66 	40 	40 	33	46
s0014	35 	75 	80 	73 	35 	59 	84	73
s0147		16 	85 	77 	68 	69 	70	50
s0195	85 	45 	85 	18 	60 	80 	64	54
s1281	20 	90 	85 	65 	40 	44 	68	93
s0419	70 	48 	65 	56 	65 	20 	90	40
s0435		65 	100 	65 	80 	55 	110	87
s0914	50 	40 	80 	63 	73 	64 	96	68
s0046	85 	60 	70 	55 	35 	38 	58	28
s0489		25 	45 	35 	25 	40 	18	20
s0110	70 	50 	85 	85 	56 	59 	89	47
s0276	60 	5 	30 	40 	10 	35 	67	19
s0516	100 	85 	100 	61 	70 	54 	115	80
s6513	95 	65 		83 	75 	70 	86	91
s0186	50 	47 	75 	52 	50 	60 	54	53
s0228	35 	45 	70 	92 	55 	45 	37	31
s0434	100 	82 	85 	72 			109	24
s0442	50 	22 	55 		45 	25 	71	39
s0541	55 	55 	65 	39 	35 	22 	57	21
s0590	10 	5 	60 	2 	23 	55 	33	35
s0947	70 	85 	80 	82 	66 	34 	112	51
s0962	30 	23 	70 	67 	50 	35 	41	42
s1069	15 	20 	80 	68 	30 	15 	58	42
s1093	35 	30 	40 	68 	45 	35 	54	30
s7132	50 	57 	30 	56 	55 	30 	22	26
s0284	40 	75 	35 	73 	60 	35 	60	25
s0041	60 	40 	60 	32 	70 	64 	19	24
s0272	10 	45 	50 	81 	30 		85	51
s0587	80 	35 	55 	49 	50 	44 	36	44
s0702	60 	25 	60 	76 	20 	40 	11	33
s1486	60 	75 	75 	26 	80 	65 	57	100
s1759	65 	35 	75 	61 	70 	55 	88	47
s0609		65 	60 	93 	70 	15 	80	49
s8139	70 	33 	50 	79 	35 	39 	45	46
s8036	80 	75 	90 	78 	53 	60 	77	96
s7308	40 		75 	43 	48 	60 	55	65
s0316	80 	25 	55 	57 	30 	30 	39	41
