UID	Phase	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YAR007C_G1	0	-0.48	-0.42	0.87	0.92	0.67	-0.18	-0.35	-1.06	-0.81	-0.18	0.53	0.8	0.45	0.16	-0.09	-0.35	-0.11	-0.35
YBL035C_G1	0	-0.39	-0.58	1.08	1.21	0.52	-0.33	-0.58	-0.08	-1.02	0.51	0.11	0.34	0.39	0.1	-0.47	-0.05	-0.53	-0.24
YBR023C_G1	0	0.87	0.25	-0.17	0.18	-0.13	-0.44	-0.13	-0.26	-0.45	-0.35	-0.06	0.52	0.16	0.19	-0.12	0.59	-0.39	-0.26
YBR067C_G1	0	1.57	1.03	1.22	0.31	0.16	-0.49	-1.02	-1.08	-0.8	-0.18	0.1	0.27	0.39	-0.05	-0.42	0.16	-1.08	-0.08
YBR088C_G1	0	-1.15	-0.86	1.21	1.62	1.12	0.16	-0.44	-0.93	-1.23	-0.62	0.62	1.3	1.08	0.27	0.04	-0.51	-0.8	-0.89
YBR278W_G1	0	0.04	-0.12	0.31	0.16	0.17	-0.06	0.08	-0.05	-0.02	-0.09	-0.06	0.18	0.19	-0.05	-0.2	0.01	-0.23	-0.23
YCL055W_G1	0	2.95	0.45	-0.4	-0.66	-0.59	-0.38	-0.76	-0.57	-0.47	-0.38	0.4	0.36	0.22	0.13	-0.09	0.21	-0.32	-0.09
YDL003W_G1	0	-1.22	-0.74	1.34	1.5	0.63	0.29	-0.55	-0.65	-0.76	-0.88	0.69	1.25	0.62	-0.01	-0.36	-0.04	-0.55	-0.55
YDL055C_G1	0	-0.73	-1.06	-0.79	-0.02	0.16	0.44	0.03	0.11	-0.2	-1.26	-0.37	0.03	0.67	0.68	0.87	0.95	0.45	0.05
YDL102W_G1	0	-0.58	-0.4	0.13	0.58	-0.09	0.02	-0.45	-0.34	0.1	0.12	0.79	0.44	0.2	0.02	-0.27	0.2	-0.36	-0.12
