Student	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
s1	C	D	D	A	D	A	B	C	C	B
s2	B	D	B	D	D	A	C	D	B	B
s3	B	A	A	B	D	A	C	B	C	B
s4	B	D	B	A	B	C	C	D	C	B
s5	B	D	D	D	A	C	C	D	A	B
s6	D	B	B	B	D	A	B	C	C	B
s7	D	D	B	D	D	A	C	D	D	D
s8	B	B	A	A	D	A	A	A	A	C
s9	A	D	C	D	D	B	D	D	C	B
s10	B	D	D	B	A	D	C	D	C	A
s11	B	C	C	C	A	D	A	B	C	B
s12	A	D	B	D	D	A	C	D	C	B
s13	B	C	B	A	D	D	A	D	C	B
s14	B	C	A	D	B	C	A	D	B	B
s15	A	B	B	D	D	A	C	A	C	B
s16	B	D	B	D	A	A	C	D	A	B
s17	C	B	C	B	B	C	C	A	B	B
s18	B	B	B	C	B	A	D	C	C	D
s19	B	D	D	D	D	A	C	D	C	B
s20	B	D	D	D	D	A	C	D	C	B
s21	A	D	D	D	D	A	C	D	C	B
s22	B	D	A	A	D	A	D	A	C	B
s23	B	B	A	D	D	B	C	D	C	D
s24	B	C	B	D	D	A	C	D	C	A
s25	B	B	B	D	D	A	C	D	C	B
s26	A	A	B	C	D	A	A	D	C	B
s27	B	D	B	D	D	A	B	D	A	B
s28	B	C	A	D	D	B	A	C	D	B
s29	C	B	B	B	D	A	A	B	A	B
s30	C	D	B	D	B	A	C	D	C	D
s31	A	D	B	D	D	A	C	D	C	B
s32	C	B	C	A	B	B	A	D	A	D
s33	C	D	B	D	C	A	B	D	B	B
s34	C	A	D	D	C	A	C	D	C	D
s35	B	D	B	C	C	D	C	D	C	B
s36	D	D	C	D	D	D	C	A	C	D
s37	B	A	B	B	D	A	C	B	C	B
s38	B	B	B	C	C	C	C	A	C	B
s39	A	C	B	D	A	B	D	D	D	A
s40	B	C	A	A	D	C	C	C	C	C
s41	B	D	B	D	D	A	C	D	C	B
s42	B	C	B	D	D	A	C	B	D	B
s43	B	D	B	B	D	A	C	D	C	B
s44	B	D	B	A	C	A	C	D	C	B
s45	B	D	A	D	B	D	C	D	C	B
s46	A	D	B	D	D	D	A	D	C	D
s47	D	D	B	D	D	A	C	D	C	B
s48	D	D	B	D	C	B	A	D	C	C
s49	C	D	B	C	D	C	D	D	C	D
s50	B	D	B	D	D	C	C	B	C	B
