no	class	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21
1	0	-0.12	-0.94	1.29	2.59	2.42	3.55	4.94	3.25	1.9	2.07	0.51	1.45	2.5	0.12	1.41	2.78	0.64	0.62	-0.01	-0.79	-0.12
2	0	0.14	-1.18	1.42	2.28	3.1	3.15	3.49	4.54	1.4	3.41	3.4	2.83	0.06	0.6	3.61	2.08	-0.83	0.55	-0.55	-0.43	-1.05
3	0	1.32	-0.4	-0.69	4.17	3.66	4	5.24	3.88	2.17	1.82	3.65	1.01	1.82	1.13	-0.07	0.26	0.5	1.38	1.25	-1.34	0.53
4	0	-0.51	-0.48	0.35	-1.67	0.26	2.45	-0.09	2.03	0.79	1.42	1.13	2.52	2.06	4.5	4.28	4.66	3.3	0.38	0.75	1.76	0.37
5	0	-1.43	-0.46	-0.52	1.45	0	1.35	1.39	0.81	0.03	1.39	2.55	2.42	3.07	5.46	6.29	6.5	4.6	3.77	1.62	1.01	-1.86
6	0	0.97	0.72	-0.64	-0.87	0.66	0.8	-0.47	0.55	0.57	0.3	1.97	2.48	3.13	2.53	6.35	5.24	4.37	3.77	0.47	2.25	-0.3
7	0	-0.96	0.13	0.13	-0.7	2.89	1.26	3.48	4.36	0.59	2.37	2.02	2.62	2.75	2.6	3.66	3.06	1.41	1.09	1.25	-0.29	-0.41
8	0	0.36	0.4	0.73	1.91	1.44	3.17	2.72	3.6	1.02	3.27	1.06	1.54	3.44	2.45	2.58	-0.48	1.02	-0.01	2.42	0.71	-0.81
9	0	-0.47	0.46	4.5	3.1	3.39	4.79	6.43	3.7	4.09	2.03	0.87	1.78	-0.78	-1.88	-2.09	0.29	0.01	0.06	-0.76	1.5	0.5
10	0	0.2	1.35	-0.74	-0.21	4.44	3.82	5.31	4.13	2.85	1.81	-1.38	1.08	0.65	-0.38	0.64	-0.38	0.23	0.75	1.05	2.09	-0.07
11	0	-0.84	0.96	2.33	4.86	5.01	5.57	6.62	4.6	3.42	2.86	0.31	0.53	0.2	-1.77	-0.41	-0.36	0.56	-0.15	0.26	-0.89	0.86
12	0	-0.94	1.51	1.41	2.49	1.54	2.29	4.48	4.1	2.39	1.51	1.09	1.32	0.72	4.28	2.25	0.06	0.76	0.53	-0.01	0.98	-1.48
13	0	0.25	0.56	2.37	1.03	0.21	-0.72	1.73	0.34	0.64	1.84	2.98	2.3	4.71	5.47	4.83	4.21	2.42	1.78	1.69	-0.18	0.65
14	0	1.91	1.66	1.61	3.71	1.26	4.74	4.57	2.65	4.8	3.47	1.42	2.75	0.33	1.88	1.63	1.42	1.12	0.81	-1.3	0.85	-1.98
15	0	-0.8	0.75	1.73	1.09	0.71	3.2	1.87	-0.52	0.96	0.72	2.15	3.32	2.91	4.37	2.58	4.32	0.83	0.6	1.6	1.17	1.64
16	0	-1.41	1.77	1.92	3.66	2.74	1.89	3.16	2.97	2.3	3.65	2.66	0.68	2.29	1.32	2.07	2.72	1.44	0.86	0	-0.96	-0.18
17	0	1.11	-1.25	0.16	0.62	0.9	0.18	0.64	1.88	-0.02	1.57	2.95	4.32	3.3	4.65	5.54	4.4	1.25	4.69	1.7	1.8	0.31
18	0	0.16	0.95	0.32	1.58	0.95	1.3	2.71	-0.02	0.07	2.09	1.5	1.09	3.44	4.96	2.85	2.92	2.5	1.87	-0.01	3.13	0.58
19	0	-1.57	-0.68	1.36	0.55	3.18	1.99	2.46	1.3	-0.09	1.26	2.86	1.69	1.38	3.57	2.91	1.78	0.59	1.45	1.57	2.57	0.15
20	0	0.13	0.37	1.83	4.13	2.16	2.85	4.13	2.95	2.17	2.58	2.89	2.21	3.09	0.28	2.2	3	2.68	0.22	1.35	1.22	-0.03
21	0	0.46	1.21	0.65	1.05	4.47	4.46	5.1	2.55	4.23	3.77	1.94	1.34	1.01	0.84	0.55	1.77	1.93	2.21	1.5	1.35	0.09
22	0	-0.03	0.87	0.97	-0.78	0.41	2.06	2.95	1.96	2.45	1.12	2.64	1.76	1.27	3.13	2.76	2.33	0.96	1.53	2.4	0.64	-1.45
23	0	-0.7	-1.25	3.31	2.24	4.6	2.67	5.56	1.96	1.91	1.38	2.71	2.69	1.36	2.48	0.24	2.42	1.05	0.97	0.12	0.47	-1.67
24	0	0.68	-0.21	-1.23	-0.28	1.08	0.47	3.29	1.48	1.45	0.07	0.71	3.49	2.34	2.95	3.88	3.46	1.33	1.15	2.09	0.63	0.12
25	0	-1.58	2.09	1.38	2.14	4.06	3.92	4.74	4.37	4.93	1.2	1.65	1.8	0.53	1.89	-0.03	1.04	0.98	0.55	1.11	0.3	-0.19
26	0	0.38	0.65	2.83	1.74	2.58	3.79	4.67	4.82	4.89	4.1	2.15	2.19	1.6	2.19	2.54	0.44	-0.49	-0.26	0.36	-0.69	0.74
27	0	0.83	0.33	0.86	1.37	3.17	3.93	4.04	2.46	3.33	3.45	3.13	-0.9	2.7	1.74	1.28	1.73	0.98	0.96	1.13	-0.07	-1.27
28	0	-0.15	0.97	1.41	2.51	3.57	3.79	6.19	5.09	1.99	2.79	2.79	1.43	0.48	-0.8	1.54	0.91	1.51	0.97	0.59	0.03	0.5
29	0	-1.28	0.44	0.28	-0.3	2.41	-0.81	0.93	0.5	1.85	1.53	1.28	4.19	2.47	2.76	5.49	3.28	3	1.4	2.39	2.04	-0.63
30	0	-1.36	0.39	-0.71	1.5	4.03	4.61	6.23	3.01	3.63	3.54	4.01	0.69	1.29	0.83	1.25	-0.7	1.86	0.52	-0.63	1.9	-0.37
31	0	2.37	1.24	1.04	1.86	2.81	2.34	2.05	2.34	2.76	1.06	2.33	1.34	2.2	3.68	2.7	1.52	3.16	0.51	2.27	1.7	-0.79
32	0	0.58	-0.18	0.97	2.94	2.35	3.19	4.18	0.68	2.31	2.65	1.63	2.06	1.79	1.62	2.04	2.82	3.27	1.42	1.76	2.12	0.18
33	0	0.65	0.05	0.53	5.66	3.01	6.64	5.15	4.12	4.56	3.35	3.02	-0.53	1.26	-1.11	-1.57	-0.84	1.26	-0.22	-1.75	-0.14	0.39
34	0	0.49	-0.12	-0.42	0.54	1.93	2.98	3.66	4.78	1.8	2.11	3.33	2.14	2.65	0.84	3.16	2.7	2.41	1.3	0.77	0.97	0.26
35	0	-0.31	1.49	0.86	0.36	3.01	2.81	3.42	1.63	2.3	0.89	0.62	1.72	2.32	3.16	3.85	2.83	1.75	1.71	0.21	1.28	0.78
36	0	2.51	0	0.85	2.12	1.42	2.59	3.14	2.38	3.23	2.58	2.59	1.93	2.35	1.9	2.2	3.97	2.13	3.49	2.31	1.86	0.26
37	0	-0.82	-0.19	0.27	1.45	1.5	0.49	-0.88	0.74	0.4	2.38	2.07	3.24	4.84	5.42	5.67	4.68	4.96	2.56	1.36	1.32	0.12
38	0	-0.82	0.14	0.17	0.81	0.18	2.4	1.87	2.61	0.23	2.52	2.3	2.67	-0.01	3.52	1.22	2.72	3.19	3.37	3.12	1.6	-0.33
39	0	-1.87	3.15	-0.08	0.78	2.66	1.62	4.64	1.59	2.65	-0.72	2.21	3.64	2.78	4.79	5.28	1.1	3.34	1.78	1.32	1.15	-0.71
40	0	-0.27	-0.26	2.37	1.79	2.48	3.46	3.16	2.99	0.62	2.06	2.24	2.87	2.36	0.44	3.42	-0.44	1.31	1.58	0.3	1.31	-0.2
41	0	-0.72	-0.01	2.1	1.42	3.22	3.18	5.91	4.89	4.16	2.93	1.67	-0.36	1.56	2.55	-0.02	0.42	0.46	1.59	0.11	1.51	-1.8
42	0	-0.05	0.59	1.44	0.1	4.25	4.25	4.13	4.05	2.52	2.94	2.05	2.24	0.37	1.32	0.16	1.6	1.41	1.18	1.56	-0.37	0.08
43	0	0.09	0.96	2.55	4.53	4.35	3.15	6.64	4.79	4.24	3.57	1.47	0.95	0.61	0.42	1.13	1.36	1.19	-1.43	0.06	0.37	0.24
44	0	-1.98	0.24	3.63	2.2	1.72	4.81	5.48	3.55	3.55	1.84	1.89	1.9	0.66	2.05	3.07	1.88	1.9	1.3	0.24	1.33	1.91
45	0	-2.01	1.38	3.15	-0.22	3.47	3.1	3.79	2.16	3.65	3.17	0.72	2.08	3.26	1.92	3.76	3.12	2.42	2.79	0.8	0.43	1.67
46	0	0.57	0.18	2.14	1.46	1.91	0.9	3.17	2.3	0.73	2.2	2.68	0.53	2.42	3.52	3.69	3.26	1.62	3.77	1.4	0.03	2.64
47	0	1.16	1.72	2.54	1.15	4.04	5.3	4.34	4.18	4.67	2.61	0.62	1.81	0.19	0.87	-0.14	0.72	0.93	-0.77	-0.08	0.74	0.38
48	0	-0.86	-0.72	-0.63	0.01	-0.26	-1.11	0.02	0.8	-0.19	-0.02	0.48	3.66	3.39	4.68	5.35	5.38	2.94	2.07	-0.1	0.41	-1.53
49	0	0.79	0.22	1.49	2.36	3.48	2.95	3.56	1.9	3.71	3.64	2.18	3.97	1.42	2.9	1.76	1.1	1.29	2.45	-1.05	0.47	0.57
50	0	1.03	0.86	1.52	0.62	1.17	0.8	4.1	4.07	2.35	2.4	0.36	1.8	2.34	2.12	4.02	2.26	1.16	3.61	0.25	0.33	-0.2
51	0	-1.2	0.93	1.76	2.67	3.89	2.39	3.67	4.89	4.06	2.62	2.73	1.61	2.47	1.18	2.21	0.91	3.01	0.2	-0.63	1.44	1.29
52	0	-0.14	0.38	1.34	3.57	2.93	4.58	3.67	2.82	3.15	3.8	1.7	2.58	-0.84	0.63	-1	2.16	0.87	0.69	-0.34	-0.12	-0.04
53	0	0.56	0.65	1.17	0.8	1.52	-0.02	-0.32	-1.25	1.8	-0.07	1.83	4.37	3.79	2.84	6.07	3.79	2.48	1.72	2.06	0.77	-0.19
54	0	-0.03	0.93	1.59	2.99	3.42	4.39	3.81	3.15	1.83	1.02	2.37	2.28	0.89	0.42	0.58	1.73	1.61	-0.7	1.19	0.49	-0.15
55	0	-0.03	2.54	2.62	2.44	3.41	5.67	3.71	6.12	3.09	2.68	2.22	0.83	1.69	0.43	-0.68	-0.12	0.85	0.32	-0.62	-0.24	-0.75
56	0	1.74	1.49	-0.09	2.15	1.73	2.46	5.13	3.1	0.94	4.32	2.62	2.39	0.71	1.94	1.33	1.09	0.52	1.44	0.17	0.94	-1.68
57	0	1.42	-0.14	0.61	1.17	2.7	1.35	3.66	2.17	1.65	3	3.7	3.19	0.66	1.95	4.26	-0.35	1.6	1.95	-0.7	1.17	-1.39
58	0	-0.53	1.14	0.41	1.68	2.59	0.25	3.57	2.34	1.79	1.89	1.4	3.26	3.32	1.65	2.5	1.61	2.42	2.18	2.99	1.37	0.02
59	0	-0.21	1.78	0.1	-0.36	1.2	2.75	0.68	3.51	2	2.27	3.51	2.72	2.56	2.11	3.73	3.45	1.64	2.62	2.88	2.1	-0.18
60	0	0.16	1.43	0.74	2.47	0.81	0.99	2.54	3.63	2.56	1.09	2.56	2.99	1.04	3.61	4.43	1.94	2.16	0.11	0.99	0.24	-1.64
61	0	0.97	0.97	1.69	1.92	4.2	3.22	5.18	2.77	2.43	3.46	-0.12	1.07	1.65	0.68	2.02	2.69	-0.02	1.49	-0.73	1.61	-0.19
62	0	-1	0.04	0.24	-0.39	-1.02	0.14	-0.26	0.51	-0.75	0.59	3.74	1.81	2.93	5.06	5.23	4.25	0.37	2.98	2.86	1.63	0.46
